definition,workload,trajectory_id,turn,baseline_correctness,sft_correctness,baseline_correct,sft_correct,correct_delta,baseline_exp_dir,sft_exp_dir,baseline_prompt_tokens,sft_prompt_tokens,delta_prompt_tokens,baseline_completion_tokens,sft_completion_tokens,delta_completion_tokens,baseline_reasoning_tokens,sft_reasoning_tokens,delta_reasoning_tokens,baseline_reasoning_fraction,sft_reasoning_fraction,delta_reasoning_fraction,baseline_content_chars,sft_content_chars,delta_content_chars,baseline_pre_code_chars,sft_pre_code_chars,delta_pre_code_chars,baseline_code_chars,sft_code_chars,delta_code_chars,baseline_provider_visible_chars,sft_provider_visible_chars,delta_provider_visible_chars,baseline_feedback_chars,sft_feedback_chars,delta_feedback_chars
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,2,Numerical error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,38494.0,34946.0,-3548.0,35112.0,13569.0,-21543.0,,8468.0,,,0.6240695703441669,,15008.0,13071.0,-1937.0,280.0,2.0,-278.0,14718.0,13059.0,-1659.0,15008.0,13071.0,-1937.0,653.0,747.0,94.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,3,Numerical error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,44433.0,40312.0,-4121.0,16918.0,28526.0,11608.0,,23000.0,,,0.8062819883614948,,15011.0,14521.0,-490.0,338.0,2.0,-336.0,14663.0,14509.0,-154.0,15011.0,14521.0,-490.0,646.0,781.0,135.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,4,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,50334.0,46101.0,-4233.0,18563.0,19940.0,1377.0,,14571.0,,,0.7307422266800401,,13199.0,13695.0,496.0,284.0,2.0,-282.0,12905.0,13683.0,778.0,13199.0,13695.0,496.0,680.0,747.0,67.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,5,Kernel Execution Timeout,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,55084.0,51734.0,-3350.0,5140.0,25804.0,20664.0,,20947.0,,,0.8117733684700047,,13256.0,12574.0,-682.0,155.0,2.0,-153.0,13091.0,12562.0,-529.0,13256.0,12574.0,-682.0,513.0,716.0,203.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,6,Kernel Execution Timeout,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,59772.0,56851.0,-2921.0,8611.0,13948.0,5337.0,,12740.0,,,0.913392601089762,,12531.0,3453.0,-9078.0,156.0,2.0,-154.0,12365.0,3441.0,-8924.0,12531.0,3453.0,-9078.0,546.0,1625.0,1079.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_001,7,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,64176.0,58588.0,-5588.0,8167.0,17958.0,9791.0,,13227.0,,,0.7365519545606415,,13424.0,12224.0,-1200.0,298.0,2.0,-296.0,13116.0,12212.0,-904.0,13424.0,12224.0,-1200.0,680.0,747.0,67.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,0,Compilation error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,25741.0,23839.0,-1902.0,15283.0,32140.0,16857.0,,28813.0,,,0.8964841319228376,,13633.0,8890.0,-4743.0,458.0,2.0,-456.0,13165.0,8878.0,-4287.0,13633.0,8890.0,-4743.0,409.0,660.0,251.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,1,Extraction error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,30584.0,27449.0,-3135.0,3914.0,23139.0,19225.0,,19486.0,,,0.8421280089891525,,0.0,9688.0,9688.0,0.0,2.0,2.0,0.0,9676.0,9676.0,0.0,9688.0,9688.0,174.0,659.0,485.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,2,Compilation error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,30636.0,31384.0,748.0,4442.0,45236.0,40794.0,,41044.0,,,0.907330444778495,,12572.0,10592.0,-1980.0,2.0,2.0,0.0,12560.0,10580.0,-1980.0,12572.0,10592.0,-1980.0,10198.0,908.0,-9290.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,3,Runtime error,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,38731.0,35929.0,-2802.0,12108.0,28260.0,16152.0,,24114.0,,,0.8532908704883228,,14112.0,11432.0,-2680.0,202.0,2.0,-200.0,13900.0,11420.0,-2480.0,14112.0,11432.0,-2680.0,1141.0,902.0,-239.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,4,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,44174.0,40390.0,-3784.0,11720.0,9443.0,-2277.0,,5453.0,,,0.5774647887323944,,16283.0,10359.0,-5924.0,228.0,2.0,-226.0,16045.0,10347.0,-5698.0,16283.0,10359.0,-5924.0,1329.0,1955.0,626.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,5,Compilation error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,50189.0,44943.0,-5246.0,4929.0,23931.0,19002.0,,20146.0,,,0.8418369478918557,,13360.0,9825.0,-3535.0,151.0,2.0,-149.0,13199.0,9813.0,-3386.0,13360.0,9825.0,-3535.0,1060.0,693.0,-367.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,55115.0,49020.0,-6095.0,4692.0,8508.0,3816.0,,4233.0,,,0.4975317348377997,,13370.0,11376.0,-1994.0,186.0,2.0,-184.0,13174.0,11364.0,-1810.0,13370.0,11376.0,-1994.0,2115.0,789.0,-1326.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_002,7,Runtime error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,60298.0,53584.0,-6714.0,7458.0,10417.0,2959.0,,6625.0,,,0.6359796486512431,,13094.0,9850.0,-3244.0,342.0,2.0,-340.0,12742.0,9838.0,-2904.0,13094.0,9850.0,-3244.0,2150.0,693.0,-1457.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,0,Runtime error,Numerical error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,25741.0,23839.0,-1902.0,22944.0,27111.0,4167.0,,23536.0,,,0.8681347054701044,,14129.0,9382.0,-4747.0,265.0,2.0,-263.0,13854.0,9370.0,-4484.0,14129.0,9382.0,-4747.0,5018.0,1237.0,-3781.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,1,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,33056.0,27818.0,-5238.0,11568.0,19543.0,7975.0,,15755.0,,,0.8061710075218749,,15897.0,10271.0,-5626.0,404.0,2.0,-402.0,15483.0,10259.0,-5224.0,15897.0,10271.0,-5626.0,1195.0,775.0,-420.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,2,Kernel Execution Timeout,Numerical error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,39704.0,31886.0,-7818.0,10152.0,15798.0,5646.0,,12027.0,,,0.7612988985947589,,12167.0,9946.0,-2221.0,312.0,2.0,-310.0,11845.0,9934.0,-1911.0,12167.0,9946.0,-2221.0,609.0,648.0,39.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,3,Compilation error,Correct,0,1,1,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,44867.0,35906.0,-8961.0,5891.0,13244.0,7353.0,,9476.0,,,0.7154938085170643,,13122.0,9947.0,-3175.0,290.0,2.0,-288.0,12822.0,9935.0,-2887.0,13122.0,9947.0,-3175.0,201.0,661.0,460.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,4,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,50165.0,39946.0,-10219.0,5420.0,38978.0,33558.0,,33023.0,,,0.8472215095695007,,13078.0,15182.0,2104.0,214.0,2.0,-212.0,12854.0,15170.0,2316.0,13078.0,15182.0,2104.0,730.0,777.0,47.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,5,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,55420.0,46180.0,-9240.0,4934.0,26697.0,21763.0,,21989.0,,,0.8236505974454058,,11686.0,12359.0,673.0,151.0,2.0,-149.0,11525.0,12347.0,822.0,11686.0,12359.0,673.0,741.0,2527.0,1786.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,59961.0,51652.0,-8309.0,8546.0,8219.0,-327.0,,3679.0,,,0.4476213651295778,,10616.0,11852.0,1236.0,115.0,2.0,-113.0,10491.0,11840.0,1349.0,10616.0,11852.0,1236.0,741.0,775.0,34.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_003,7,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,64025.0,56471.0,-7554.0,6461.0,13861.0,7400.0,,9272.0,,,0.6689272058293052,,9452.0,11549.0,2097.0,105.0,2.0,-103.0,9337.0,11537.0,2200.0,9452.0,11549.0,2097.0,818.0,779.0,-39.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,0,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,26498.0,24596.0,-1902.0,54563.0,47047.0,-7516.0,,41662.0,,,0.8855399919229706,,9806.0,13477.0,3671.0,296.0,2.0,-294.0,9500.0,13465.0,3965.0,9806.0,13477.0,3671.0,802.0,4893.0,4091.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,1,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,30536.0,31394.0,858.0,15233.0,32174.0,16941.0,,27587.0,,,0.8574314664014422,,11869.0,11617.0,-252.0,375.0,2.0,-373.0,11484.0,11605.0,121.0,11869.0,11617.0,-252.0,4771.0,779.0,-3992.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,2,Runtime error,Extraction error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,36480.0,36260.0,-220.0,13817.0,27726.0,13909.0,,27726.0,,,1.0,,10067.0,0.0,-10067.0,182.0,0.0,-182.0,9875.0,0.0,-9875.0,10067.0,0.0,-10067.0,780.0,174.0,-606.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,3,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,40585.0,36312.0,-4273.0,12356.0,34397.0,22041.0,,28761.0,,,0.8361485013227897,,11707.0,14142.0,2435.0,363.0,2.0,-361.0,11334.0,14130.0,2796.0,11707.0,14142.0,2435.0,747.0,1049.0,302.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,4,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,45300.0,42320.0,-2980.0,8263.0,54065.0,45802.0,,49139.0,,,0.908887450291316,,11279.0,12774.0,1495.0,208.0,2.0,-206.0,11061.0,12762.0,1701.0,11279.0,12774.0,1495.0,976.0,787.0,-189.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,5,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,49939.0,47535.0,-2404.0,13207.0,39360.0,26153.0,,34893.0,,,0.8865091463414634,,11401.0,11621.0,220.0,359.0,2.0,-357.0,11032.0,11609.0,577.0,11401.0,11621.0,220.0,769.0,780.0,11.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,54523.0,52284.0,-2239.0,9710.0,59004.0,49294.0,,53933.0,,,0.9140566741237882,,11357.0,13226.0,1869.0,111.0,2.0,-109.0,11236.0,13214.0,1978.0,11357.0,13226.0,1869.0,769.0,6777.0,6008.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_004,7,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,59084.0,59430.0,346.0,6354.0,22736.0,16382.0,,18227.0,,,0.8016801548205489,,9615.0,12222.0,2607.0,80.0,2.0,-78.0,9525.0,12210.0,2685.0,9615.0,12222.0,2607.0,769.0,780.0,11.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,0,Other error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,26498.0,24596.0,-1902.0,53784.0,53006.0,-778.0,,46071.0,,,0.8691657548202091,,14895.0,17145.0,2250.0,2.0,2.0,0.0,14883.0,17133.0,2250.0,14895.0,17145.0,2250.0,2416.0,3124.0,708.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,1,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,32799.0,32460.0,-339.0,5621.0,53225.0,47604.0,,46673.0,,,0.8768999530295913,,14724.0,16660.0,1936.0,2.0,2.0,0.0,14712.0,16648.0,1936.0,14724.0,16660.0,1936.0,2106.0,1288.0,-818.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,2,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,38931.0,39436.0,505.0,11570.0,61155.0,49585.0,,54105.0,,,0.8847191562423351,,14420.0,16998.0,2578.0,2.0,2.0,0.0,14408.0,16986.0,2578.0,14420.0,16998.0,2578.0,766.0,1071.0,305.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,3,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,44657.0,46840.0,2183.0,13591.0,22195.0,8604.0,,16930.0,,,0.7627844109033566,,14547.0,12917.0,-1630.0,2.0,2.0,0.0,14535.0,12905.0,-1630.0,14547.0,12917.0,-1630.0,768.0,978.0,210.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,4,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,50423.0,52441.0,2018.0,10330.0,34577.0,24247.0,,29968.0,,,0.866703299881424,,13779.0,11631.0,-2148.0,2.0,2.0,0.0,13767.0,11619.0,-2148.0,13779.0,11631.0,-2148.0,764.0,766.0,2.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,5,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,55917.0,57324.0,1407.0,8012.0,35098.0,27086.0,,29932.0,,,0.8528121260470682,,14068.0,12715.0,-1353.0,2.0,2.0,0.0,14056.0,12703.0,-1353.0,14068.0,12715.0,-1353.0,770.0,1469.0,699.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,61511.0,63012.0,1501.0,6679.0,15427.0,8748.0,,9354.0,,,0.606339534582226,,14207.0,14855.0,648.0,2.0,2.0,0.0,14195.0,14843.0,648.0,14207.0,14855.0,648.0,830.0,805.0,-25.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_005,7,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,67209.0,69376.0,2167.0,7447.0,8220.0,773.0,,3418.0,,,0.41581508515815085,,13756.0,12290.0,-1466.0,2.0,2.0,0.0,13744.0,12278.0,-1466.0,13756.0,12290.0,-1466.0,764.0,801.0,37.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_006,0,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,26498.0,24596.0,-1902.0,18279.0,51661.0,33382.0,,47296.0,,,0.9155068620429337,,11330.0,11654.0,324.0,2.0,2.0,0.0,11318.0,11642.0,324.0,11330.0,11654.0,324.0,2484.0,3035.0,551.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_006,1,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,31999.0,29882.0,-2117.0,4871.0,28142.0,23271.0,,23039.0,,,0.8186696041503803,,11339.0,13935.0,2596.0,2.0,2.0,0.0,11327.0,13923.0,2596.0,11339.0,13935.0,2596.0,769.0,2504.0,1735.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_006,2,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,37077.0,35734.0,-1343.0,18921.0,24765.0,5844.0,,19653.0,,,0.793579648697759,,11746.0,13367.0,1621.0,253.0,2.0,-251.0,11483.0,13355.0,1872.0,11746.0,13367.0,1621.0,769.0,916.0,147.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_006,3,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,42299.0,41161.0,-1138.0,6181.0,47115.0,40934.0,,39775.0,,,0.8442109731508012,,12615.0,19055.0,6440.0,174.0,2.0,-172.0,12431.0,19043.0,6612.0,12615.0,19055.0,6440.0,784.0,10197.0,9413.0
gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,exp_006,4,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,47808.0,51396.0,3588.0,22719.0,9132.0,-13587.0,,3703.0,,,0.405497152869032,,12472.0,14137.0,1665.0,253.0,2.0,-251.0,12209.0,14125.0,1916.0,12472.0,14137.0,1665.0,780.0,816.0,36.0
